SightingDate	fullLocation	StateText	2013	City	lat	lon	bins	Shape
1/13/13 18:15	Jackson, Missouri	Missouri	14386	Jackson	38.985812	-94.3616622	1	Other
1/13/13 20:00	Hampton, Virginia	Virginia	136699	Hampton	37.0298687	-76.3452218	13	Triangle
1/13/13 20:30	Indian Harbour Beach, Florida	Florida	8290	Indian Harbour Beach	28.1489021	-80.5883855	0	Fireball
1/13/13 22:00	Oakland, California	California	406253	Oakland	37.8043808	-122.2708166	40	Light
1/13/14 03:10	Agawam, Massachusetts	Massachusetts	28705	Agawam	42.069114	-72.6496085514953	2	Light
1/13/14 06:00	Hugoton, Kansas	Kansas	3979	Hugoton	37.1753025	-101.3496025	0	Flash
1/13/14 06:47	San Antonio, Texas	Texas	1409019	San Antonio	29.4246002	-98.4951405	140	Fireball
1/13/14 13:45	Carson, California	California	92599	Carson	33.8314058	-118.2820165	9	Sphere
1/13/14 18:30	Boone, Iowa	Iowa	12629	Boone	42.0171798	-93.9254114	1	Triangle
1/13/14 18:45	Greensboro, North Carolina	North Carolina	279639	Greensboro	36.0726355	-79.7919754	27	Teardrop
1/13/14 18:50	Tinley park, Illinois	Illinois	57282	Tinley park	41.5733669	-87.7844944	5	Light
1/13/14 20:30	Rushville, Indiana	Indiana	6204	Rushville	40.1211577	-90.5631829	0	Triangle
1/13/14 22:22	Holts Summit, Missouri	Missouri	3420	Holts Summit	38.640315	-92.1224056	0	Changing
1/14/13 00:00	Milwaukee, Wisconsin	Wisconsin	599164	Milwaukee	43.0349931	-87.922497	59	Triangle
1/14/13 00:12	Perris, California	California	72326	Perris	33.7919875	-117.224335913065	7	Light
1/14/13 07:00	Rancho Cucamonga, California	California	171386	Rancho Cucamonga	34.1242304	-117.565564610376	17	Sphere
1/14/13 18:00	Scottsdale, Arizona	Arizona	226918	Scottsdale	33.5092104	-111.8990328	22	Fireball
1/14/13 18:00	Waukegan, Illinois	Illinois	88826	Waukegan	42.3636331	-87.8447938	8	Other
1/14/13 18:00	Broadway, Virginia	Virginia	3768	Broadway	40.7731717	-73.9820904	0	Changing
1/14/13 20:00	Maricopa, Arizona	Arizona	45508	Maricopa	33.4196631	-112.4790473	4	Light
1/14/13 20:10	Lewiston, Maine	Maine	36437	Lewiston	44.100351	-70.2147764	3	Light
1/14/13 21:39	Muskegon, Michigan	Michigan	37213	Muskegon	43.2341813	-86.2483921	3	Circle
1/14/14 00:35	Myrtle Beach, South Carolina	South Carolina	29175	Myrtle Beach	33.6955167	-78.8817622	2	Circle
1/14/14 02:00	Flossmoor, Illinois	Illinois	9526	Flossmoor	41.5428123	-87.6847684	0	Triangle
1/14/14 05:15	Angleton, Texas	Texas	18988	Angleton	29.16941	-95.4318847	1	Flash
1/14/14 06:00	Palestine, Texas	Texas	18617	Palestine	31.7621153	-95.6307891	1	Triangle
1/14/14 06:30	Yates Center, Kansas	Kansas	1380	Yates Center	37.8811472	-95.7333175	0	Light
1/14/14 18:30	Surfside Beach, South Carolina	South Carolina	4119	Surfside Beach	33.6060031	-78.9730887	0	Unknown
1/14/14 18:45	Eureka, Kansas	Kansas	2527	Eureka	37.8239167	-96.2891703	0	Other
1/14/14 18:45	Fredonia, Kansas	Kansas	2390	Fredonia	37.5339386	-95.8266483	0	Light
1/14/14 19:35	Roanoke, Virginia	Virginia	98465	Roanoke	37.270973	-79.9414313	9	Light
1/14/14 22:40	Kimberly, Idaho	Idaho	3432	Kimberly	42.5338019	-114.3647561	0	Fireball
1/15/13 02:20	Irvington, New York	New York	6550	Irvington	41.0352698	-73.864763828948	0	Unknown
1/15/13 05:30	Olympia, Washington	Washington	48338	Olympia	47.0450197	-122.8948725	4	Fireball
1/15/13 07:00	Fort Dodge, Iowa	Iowa	24639	Fort Dodge	42.4974694	-94.1680158	2	Triangle
1/15/13 09:35	Loris, South Carolina	South Carolina	2505	Loris	34.0562812	-78.8903044	0	Light
1/15/13 17:00	Mansfield, Ohio	Ohio	46454	Mansfield	40.75839	-82.5154471	4	Circle
1/15/13 18:30	Loris, South Carolina	South Carolina	2505	Loris	34.0562812	-78.8903044	0	Other
1/15/13 19:30	Phoenix, Arizona	Arizona	1513367	Phoenix	33.4483772	-112.0740374	151	Light
