SightingDate	fullLocation	StateText	2013
1/18/14 21:00	Royal Palm Beach, Florida	Florida	36306
1/18/14 22:30	Kirksville, Missouri	Missouri	17577
1/19/13 15:00	Denver, Colorado	Colorado	649495
1/19/13 22:00	Eagle Mountain, Utah	Utah	24217
1/19/14 12:00	Dania Beach, Florida	Florida	30731
1/19/14 20:15	Prescott, Arizona	Arizona	40590
1/2/14 19:05	Des Moines, Iowa	Iowa	207510
1/2/14 20:00	Cuthbert, Georgia	Georgia	3618
1/2/14 22:15	Austin, Texas	Texas	885400
1/2/14 23:00	Berkeley, California	California	116768
1/20/13 21:25	Falls Church, Virginia	Virginia	13508
1/20/14 03:23	Spokane, Washington	Washington	210721
1/20/14 19:30	Madison, Alabama	Alabama	45799
1/20/14 20:00	San Antonio, Texas	Texas	1409019
1/20/14 23:25	Salem, New Jersey	New Jersey	5021
1/21/13 00:00	Schenectady, New York	New York	65902
1/21/13 21:00	New Castle, Delaware	Delaware	5385
1/21/14 17:30	Milo, Missouri	Missouri	90
1/21/14 19:30	Dahlonega, Georgia	Georgia	6049
1/21/14 20:15	Clermont, Florida	Florida	30033
1/22/13 00:00	Athens, Illinois	Illinois	1966
1/23/13 18:45	La Marque, Texas	Texas	15154
1/23/14 19:30	Maricopa, Arizona	Arizona	45508
1/24/14 23:12	Frankfort, Kentucky	Kentucky	27453
1/25/14 18:50	Santa Cruz, California	California	62864
1/25/14 20:35	Cape Coral, Florida	Florida	165831
1/25/14 22:30	Whitefish, Montana	Montana	6649
1/26/14 00:00	Wetumpka, Alabama	Alabama	7391
1/26/14 02:20	Lynden, Washington	Washington	12902
1/26/14 21:00	Jacksonville, Florida	Florida	842583
1/26/14 22:30	North Miami, Florida	Florida	61007
1/27/13 09:32	Johns Creek, Georgia	Georgia	82788
1/27/14 19:30	Highfill, Arkansas	Arkansas	621
1/30/14 00:00	Hot Springs, Arkansas	Arkansas	35680
1/30/14 21:50	Charlotte, North Carolina	North Carolina	792862
1/31/14 18:36	Salem, Oregon	Oregon	160614
1/31/14 20:00	Morganton, North Carolina	North Carolina	16807
1/4/13 15:00	Batavia, New York	New York	15269
1/4/13 21:00	Mount Juliet, Tennessee	Tennessee	28222
1/4/14 18:10	Campbell, Ohio	Ohio	8070
1/4/14 21:00	Long Beach, California	California	469428
1/4/14 21:34	Lynn, Massachusetts	Massachusetts	91589
1/4/14 22:08	Phoenix, Arizona	Arizona	1513367
1/5/13 17:45	Fountain Valley, California	California	56707
1/5/13 21:30	Easthampton, Massachusetts	Massachusetts	15971
