"","SightingDate","City","State","Shape","Duration","lon","lat","MilitaryDist","AirportDist","MeterologicalDist","SwampDist","HospitalDist","GolfDist","StorDist","MallDist","LibDist","Hour","Season","Month","Date","Year","Day","Date.Date","MilSw.diff","MilMet.diff","MetSw.diff","is.Round","Sw.Nearest","Met.Nearest","Mil.Nearest","mil.to.swamp.pref.rating","mil.to.swamp.pref.units","mil.to.met.pref.rating","mil.to.met.pref.units","MilMet.diff.mean.by.Roundness"
"3832","8/17/13 20:55","Orlando","FL","Sphere","3 minutes",-81.3790462,28.5421175,18.0851973113893,1.81669460546414,4.24762701889084,1.9409088446679,1.16656293918504,16.8746407858108,1.93018270876248,3.23089908391365,0.310920577369837,20,"Summer",8,0013-08-17,13,17,2013-08-17,16.1442884667214,13.8375702924984,2.30671817422293,1,TRUE,FALSE,FALSE,0.107320302413599,0.892679697586401,0.234867607234557,0.765132392765443,4.21601663434953
"3833","8/17/13 20:43","Phoenixville","PA","Unknown","5 minutes",-75.5149128,40.1303822,31.0833087826365,21.2605506949022,21.2605506949022,24.3303385648206,3.7800491400939,1.70681574938788,26.3324520649754,6.83111649381232,20.5154824246438,20,"Summer",8,0013-08-17,13,17,2013-08-17,6.75297021781593,9.82275808773436,-3.06978786991843,0,FALSE,TRUE,FALSE,0.782746094856278,0.217253905143722,0.683986085380284,0.316013914619716,2.65613366421381
"3834","8/17/13 20:30","Gloucester","MA","Circle","2-3 minutes",-70.6619888,42.6159286,51.3413589013925,0.525612554195608,3.64459637648777,2.00708606734353,1.83249657260383,21.5889240132375,38.7431813985325,1.55395009989652,0.248129023066277,20,"Summer",8,0013-08-17,13,17,2013-08-17,49.334272834049,47.6967625249047,1.63751030914424,1,TRUE,FALSE,FALSE,0.0390929673520795,0.960907032647921,0.07098753236134,0.92901246763866,4.21601663434953
"3835","8/17/13 20:30","Dillsburg","PA","Formation","2-3 minutes",-77.0375222,40.1141614,11.7816911473303,19.5281109876811,54.1520145847008,61.7102773310521,6.5433181656435,10.1044397674318,89.8164556187211,12.3762715399466,0.435193794370297,20,"Summer",8,0013-08-17,13,17,2013-08-17,-49.9285861837218,-42.3703234373706,-7.55826274635128,0,FALSE,FALSE,TRUE,5.2378114957661,4.2378114957661,4.59628536408983,3.59628536408983,2.65613366421381
"3839","8/17/13 10:32","Port Wing","WI","Diamond","2 minutes",-91.3865741,46.7746573,60.0456249818651,61.8791997832392,41.224254094264,32.0360696345986,34.5156192686239,35.3426479032877,239.537546015594,45.6718598535685,34.9874568663096,10,"Summer",8,0013-08-17,13,17,2013-08-17,28.0095553472665,18.8213708876011,9.18818445966537,0,TRUE,FALSE,FALSE,0.533528789887258,0.466471210112742,0.686548838599223,0.313451161400777,2.65613366421381
"3840","8/17/13 10:00","Mabton","WA","Light","2",-119.9967079,46.2148535,37.1038924225778,40.62174820745,49.5586874073553,49.3429571849776,55.4329592394624,51.5243293116971,204.970028121139,12.2623318818147,8.42862194663287,10,"Summer",8,0013-08-17,13,17,2013-08-17,-12.2390647623998,-12.4547949847775,0.215730222377715,0,FALSE,FALSE,TRUE,1.32985932103857,0.329859321038575,1.33567354181953,0.335673541819531,2.65613366421381
"3841","8/17/13 09:30","Cranston","RI","Light","30 minutes",-71.4371257,41.7809588,18.1492566735649,5.55574637149431,31.4031764836707,3.53400965279107,2.97844471065338,5.79798437249327,1.22092233686717,0.272590941444893,0.436675522736851,9,"Summer",8,0013-08-17,13,17,2013-08-17,14.6152470207738,-13.2539198101058,27.8691668308796,0,TRUE,FALSE,FALSE,0.194719250289655,0.805280749710345,1.73027342378218,0.730273423782176,2.65613366421381
"3842","8/17/13 07:30","Madison","WI","Rectangle","I was on way to my storag",-89.3837613,43.074761,6.29440712951015,8.1541801446571,58.4024070538395,0.804376947447605,0.41266079301777,4.6669803958512,0.84690374101011,2.6391284427732,0.331486183624123,7,"Summer",8,0013-08-17,13,17,2013-08-17,5.49003018206255,-52.1079999243293,57.5980301063919,0,TRUE,FALSE,FALSE,0.127792329110145,0.872207670889855,9.27846036206185,8.27846036206185,2.65613366421381
"3843","8/17/13 03:05","Orlando","FL","Oval","2 minutes",-81.3790462,28.5421175,18.0851973113893,1.81669460546414,4.24762701889084,1.9409088446679,1.16656293918504,16.8746407858108,1.93018270876248,3.23089908391365,0.310920577369837,3,"Summer",8,0013-08-17,13,17,2013-08-17,16.1442884667214,13.8375702924984,2.30671817422293,1,TRUE,FALSE,FALSE,0.107320302413599,0.892679697586401,0.234867607234557,0.765132392765443,4.21601663434953
"3844","8/17/13 01:00","San Diego (Pacific Beach)","CA","Circle","5 minutes",-117.2403183,32.7978268,1.0691842181112,8.5734330921371,3.5258439925425,14.1521744900089,2.3038247709143,2.25454157849259,2.3119742799304,0.49777289075741,0.384779257034676,1,"Summer",8,0013-08-17,13,17,2013-08-17,-13.0829902718978,-2.45665977443131,-10.6263304974664,1,FALSE,FALSE,TRUE,13.2364229197191,12.2364229197191,3.29769550730107,2.29769550730107,4.21601663434953
