6297452	Sheboygan Coast Guard Station	Sheboygan Coast Guard Station	K21C	43.75	-87.7	S	STNM	US		WI				0	1	176	America/Menominee	2006-10-29
6297453	Marblehead Coast Guard Station	Marblehead Coast Guard Station	K21G	41.55	-82.7333333333333	S	STNM	US		OH				0	196	174	America/Detroit	2006-10-29
6297454	Seguin Island Coast Guard Light Station	Seguin Island Coast Guard Light Station	K23B	43.6666666666667	-69.7666666666667	S	STNM	US		ME				0	1	-9999	America/New_York	2006-10-29
6297455	Cleveland Harbor Coast Guard Station	Cleveland Harbor Coast Guard Station	K23G	41.5	-81.7166666666667	S	STNM	US		OH				0	181	178	America/Detroit	2006-10-29
6297456	West Quoddy Head Coast Guard Light Station	West Quoddy Head Coast Guard Light Station	K24B	44.8	-66.95	S	STNM	US		ME				0	1	-9999	America/New_York	2006-10-29
6297457	Toledo Coast Guard Station	Toledo Coast Guard Station	K24G	41.7	-83.45	S	STNM	US		OH				0	180	174	America/Detroit	2006-10-29
6297458	Portsmouth Harbor	Portsmouth Harbor	K25B	43.0666666666667	-70.7166666666667	S	STNM	US		NH				0	1	1	America/New_York	2006-10-29
6297459	Erie Coast Guard Station	Erie Coast Guard Station	K25G	42.1166666666667	-80.0833333333333	S	STNM	US		PA				0	175	226	America/Detroit	2006-10-29
6297460	Edinburg, Edinburg International Airport	Edinburg, Edinburg International Airport	K25R	26.4419444444444	-98.1294444444444	S	STNM	US		TX				0	24	23	America/Indiana/Knox	2006-10-29
6297461	Rochester Coast Guard Light Station	Rochester Coast Guard Light Station	K26G	43.25	-77.6	S	STNM	US		NY				0	82	91	America/New_York	2006-10-29
6297462	Elberton, Elbert County Airport-Patz Field	Elberton, Elbert County Airport-Patz Field	K27A	34.095	-82.8158333333333	S	STNM	US		GA				0	184	186	America/Kentucky/Monticello	2006-10-29
6297463	Lorain Coast Guard Station	Lorain Coast Guard Station	K27G	41.4666666666667	-82.1833333333333	S	STNM	US		OH				0	176	183	America/Detroit	2006-10-29
6297464	Salmon	Salmon	K27U	45.1833333333333	-113.9	S	STNM	US		ID				0	1210	1207	America/Boise	2006-10-29
6297465	Grand Marais Coast Guard Station	Grand Marais Coast Guard Station	K27Y	46.6666666666667	-85.9833333333333	S	STNM	US		MI				0	183	230	America/Detroit	2006-10-29
6297466	Oswego Coast Guard Station	Oswego Coast Guard Station	K28G	43.4666666666667	-76.5166666666667	S	STNM	US		NY				0	78	75	America/New_York	2006-10-29
6297467	Grncyn Blk52 Supplementary Aviation Weather Reporting Station 	Grncyn Blk52 Supplementary Aviation Weather Reporting Station 	K28K	27.8833333333333	-91.5	S	STNM	US		LA				0	1	-9999	America/Indiana/Petersburg	2006-10-29
6297468	Sabine Pass	Sabine Pass	K28T,KRPE	29.7	-93.95	S	STNM	US		TX				0	5	1	America/Indiana/Knox	2006-10-29
6297469	North Manitou Shoal	North Manitou Shoal	K28Y	45.0166666666667	-85.95	S	STNM	US		MI				0	177	176	America/Detroit	2006-10-29
6297470	Boston / Hull Coast Guard Light Station	Boston / Hull Coast Guard Light Station	K29B	42.3166666666667	-70.8833333333333	S	STNM	US		MA				0	0	-9999	America/New_York	2006-10-29
6297471	Ravenna / Portage County	Ravenna / Portage County	K29G	41.2166666666667	-81.25	S	STNM	US		OH				0	365	365	America/Detroit	2006-10-29
6297472	Devils Island Light Station	Devils Island Light Station	K29Y	47.0833333333333	-90.7333333333333	S	STNM	US		WI				0	192	183	America/Menominee	2006-10-29
6297473	Portland Head Coast Guard Light Station	Portland Head Coast Guard Light Station	K2B8	43.6166666666667	-70.2	S	STNM	US		ME				0	23	-9999	America/New_York	2006-10-29
6297474	White Sands	White Sands	K2C2	32.3833333333333	-106.483333333333	S	STNM	US		NM				0	1244	1296	America/Shiprock	2006-10-29
6297475	Dare County Gunnery Range	Dare County Gunnery Range	K2DP	35.6666666666667	-75.9	S	STNM	US		NC				0	3	1	America/New_York	2006-10-29
6297476	Bastrop, Morehouse Memorial Airport	Bastrop, Morehouse Memorial Airport	K2F8	32.7558333333333	-91.8805555555555	S	STNM	US		LA				0	51	39	America/Indiana/Knox	2006-10-29
6297477	Meadville, Port Meadville Airport	Meadville, Port Meadville Airport	K2G6	41.6258333333333	-80.2122222222222	S	STNM	US		PA				0	426	415	America/Detroit	2006-10-29
6297478	Galliano, Galliano Heliport	Galliano, Galliano Heliport	K2GL	29.4133333333333	-90.2988888888889	S	STNM	US		LA				0	2	1	America/Indiana/Knox	2006-10-29
6297479	Huntington B. Oil	Huntington B. Oil	K2H1	33.5666666666667	-118.133333333333	S	STNM	US		CA				0	36	-9999	America/Los_Angeles	2006-10-29
6297480	Columbus / Bolton Field	Columbus / Bolton Field	K2I4	39.9	-83.1333333333333	S	STNM	US		OH				0	280	265	America/Indiana/Vevay	2006-10-29
6297481	Solana Beach	Solana Beach	K2L7	32.9833333333333	-117.266666666667	S	STNM	US		CA				0	5	22	America/Los_Angeles	2006-10-29
6297482	Paynesville, Paynesville Municipal Airport	Paynesville, Paynesville Municipal Airport	K2P3	45.3722222222222	-94.7463888888889	S	STNM	US		MN				0	360	361	America/North_Dakota/New_Salem	2006-10-29
6297483	Poinsett Range, Sumpter	Poinsett Range, Sumpter	K2PJ	33.85	-80.4833333333333	S	STNM	US		SC				0	68	54	America/Kentucky/Monticello	2006-10-29
6297484	Port Aransas, Mustang Beach Airport	Port Aransas, Mustang Beach Airport	K2R8	27.8113888888889	-97.0888888888889	S	STNM	US		TX				0	2	1	America/Indiana/Petersburg	2006-10-29
6297485	Willapa Harbor	Willapa Harbor	K2S9	46.7	-123.816666666667	S	STNM	US		WA				0	5	11	America/Los_Angeles	2006-10-29
6297486	Stanley, Stanley Airport	Stanley, Stanley Airport	K2U7	44.2083333333333	-114.934444444444	S	STNM	US		ID				0	1952	1950	America/Boise	2006-10-29
6297487	Gunnison Aviation Weather Reporting Station 	Gunnison Aviation Weather Reporting Station 	K2V9	38.6	-106.916666666667	S	STNM	US		CO				0	2380	2377	America/Denver	2006-10-29
6297488	Buffalo	Buffalo	K2WX	45.6044444444444	-103.546388888889	S	STNM	US		SD				0	915	914	America/Denver	2006-10-29
6297489	Sandwich Coast Guard Station	Sandwich Coast Guard Station	K30B	41.7833333333333	-70.5	S	STNM	US		MA				0	1	1	America/New_York	2006-10-29
6297490	Saginaw River Coast Guard Station	Saginaw River Coast Guard Station	K30G	43.6333333333333	-83.85	S	STNM	US		MI				0	177	176	America/Detroit	2006-10-29
6297491	Faulkner Island Coast Guard Light Station	Faulkner Island Coast Guard Light Station	K30N	41.2166666666667	-72.6666666666667	S	STNM	US		CT				0	15	-9999	America/New_York	2006-10-29
6297492	Duluth Harbor Coast Guard Station	Duluth Harbor Coast Guard Station	K30Y	46.7666666666667	-92.0833333333333	S	STNM	US		MN				0	186	183	America/Menominee	2006-10-29
6297493	Chatham Coast Guard Station	Chatham Coast Guard Station	K31B	41.6666666666667	-69.95	S	STNM	US		MA				0	1	1	America/New_York	2006-10-29
6297494	Seminole, Gaines County Airport	Seminole, Gaines County Airport	K31F	32.6752777777778	-102.6525	S	STNM	US		TX				0	1010	1005	America/North_Dakota/New_Salem	2006-10-29
6297495	Eagle Harbor Coast Guard Light Station	Eagle Harbor Coast Guard Light Station	K31Y	47.4666666666667	-88.1666666666667	S	STNM	US		MI				0	186	183	America/Detroit	2006-10-29
6297496	Portage Coast Guard Station	Portage Coast Guard Station	K32Y	47.2333333333333	-88.6333333333333	S	STNM	US		MI				0	190	183	America/Detroit	2006-10-29
6297497	Buzzards Bay Coast Guard Light Station	Buzzards Bay Coast Guard Light Station	K33B	41.3833333333333	-71.0333333333333	S	STNM	US		MA				0	1	-9999	America/New_York	2006-10-29
6297498	Gloucester Coast Guard Station	Gloucester Coast Guard Station	K34B	42.5833333333333	-70.6666666666667	S	STNM	US		MA				0	1	-9999	America/New_York	2006-10-29
6297499	Eatons Neck Coast Guard Station	Eatons Neck Coast Guard Station	K34N	40.95	-73.4	S	STNM	US		NY				0	1	11	America/New_York	2006-10-29
6297500	Marquette Coast Guard Light Station	Marquette Coast Guard Light Station	K34Y	46.55	-87.3833333333333	S	STNM	US		MI				0	203	188	America/Detroit	2006-10-29
6297501	Merrimac River Coast Guard Station	Merrimac River Coast Guard Station	K35B	42.8166666666667	-70.8666666666667	S	STNM	US		MA				0	1	1	America/New_York	2006-10-29
6297502	Race Point Coast Guard Station	Race Point Coast Guard Station	K36B	42.05	-70.1833333333333	S	STNM	US		MA				0	1	-9999	America/New_York	2006-10-29
6297503	Heber, Heber City Municipal-Russ McDonald Field Airport	Heber, Heber City Municipal-Russ McDonald Field Airport	K36U	40.4819444444444	-111.428888888889	S	STNM	US		UT				0	1718	1699	America/Shiprock	2006-10-29
6297504	Scituate Coast Guard Station	Scituate Coast Guard Station	K37B	42.2	-70.7166666666667	S	STNM	US		MA				0	1	1	America/New_York	2006-10-29
6297505	Erwin, Harnett County Airport	Erwin, Harnett County Airport	K37W	35.3786111111111	-78.7336111111111	S	STNM	US		NC				0	60	47	America/Kentucky/Monticello	2006-10-29
6297506	Saint Ignace	Saint Ignace	K38Y	45.85	-84.7166666666667	S	STNM	US		MI				0	176	176	America/Detroit	2006-10-29
6297507	Tawas Point Coast Guard Station	Tawas Point Coast Guard Station	K39Y	44.25	-83.4333333333333	S	STNM	US		MI				0	178	176	America/Detroit	2006-10-29
6297508	Cullman, Folsom Field Airport	Cullman, Folsom Field Airport	K3A1	34.2686111111111	-86.8583333333333	S	STNM	US		AL				0	294	303	America/Indiana/Knox	2006-10-29
6297509	Newhall	Newhall	K3A6	34.3666666666667	-118.566666666667	S	STNM	US		CA				0	427	487	America/Los_Angeles	2006-10-29
6297510	Greenville, Greenville Municipal Airport	Greenville, Greenville Municipal Airport	K3B1	45.4630555555556	-69.5516666666667	S	STNM	US		ME				0	427	413	America/New_York	2006-10-29
6297511	Eugene Island 330	Eugene Island 330	K3B6	28.0833333333333	-92.7	S	STNM	US		LA				0	0	-9999	America/Indiana/Petersburg	2006-10-29
6297512	Chester, Chester Airport	Chester, Chester Airport	K3B9	41.3838888888889	-72.5058333333333	S	STNM	US		CT				0	127	97	America/New_York	2006-10-29
6297513	Drummond	Drummond	K3DU	46.6666666666667	-113.15	S	STNM	US		MT				0	1202	1209	America/Boise	2006-10-29
6297514	Howell	Howell	K3HE	42.6333333333333	-83.9833333333333	S	STNM	US		MI				0	293	283	America/Detroit	2006-10-29
6297515	Harlowton	Harlowton	K3HT	46.4333333333333	-109.833333333333	S	STNM	US		MT				0	1268	1269	America/Boise	2006-10-29
6297516	Point Pleasant, Mason County Airport	Point Pleasant, Mason County Airport	K3I2	38.9144444444444	-82.0983333333333	S	STNM	US		WV				0	196	213	America/Indiana/Vevay	2006-10-29
6297517	Greensboro, Greene County Regional Airport	Greensboro, Greene County Regional Airport	K3J7	33.5975	-83.1388888888889	S	STNM	US		GA				0	206	194	America/Kentucky/Monticello	2006-10-29
6297518	Wichita, Colonel James Jabara Airport	Wichita, Colonel James Jabara Airport	K3KM	37.7497222222222	-97.2188888888889	S	STNM	US		KS				0	434	426	America/Chicago	2006-10-29
6297519	Newport Beach	Newport Beach	K3L3,Newport Beach,Njuport Bijch,Нюпорт Бийч	33.6	-117.883333333333	S	STNM	US		CA				0	3	1	America/Los_Angeles	2007-02-17
6297520	Lincoln, Logan County Airport	Lincoln, Logan County Airport		40.1586111111111	-89.335	S	STNM	US		IL				0	182	180	America/Chicago	2009-09-14
6297521	Litchfield, Litchfield Municipal Airport	Litchfield, Litchfield Municipal Airport	K3LF	39.1622222222222	-89.6744444444444	S	STNM	US		IL				0	210	213	America/Chicago	2006-10-29
6297522	Mount Werner	Mount Werner	K3MW	40.4594444444444	-106.759722222222	S	STNM	US		CO				0	3241	2725	America/Denver	2006-10-29
6297523	Treasure Island	Treasure Island	K3O6	37.8	-122.366666666667	S	STNM	US		CA				0	8	-9999	America/Los_Angeles	2006-10-29
6297524	Lamoni	Lamoni	K3OI	40.6166666666667	-93.95	S	STNM	US		IA				0	342	341	America/Chicago	2006-10-29
6297525	Bay City, Bay City Municipal Airport	Bay City, Bay City Municipal Airport	K3R1	28.9666666666667	-95.85	S	STNM	US		TX				0	14	10	America/Indiana/Knox	2006-10-29
6297526	Graying Air Force Range	Graying Air Force Range	K3RN	44.8333333333333	-84.55	S	STNM	US		MI				0	387	396	America/Detroit	2006-10-29
6297527	Aurora State	Aurora State	K3S2	45.25	-122.766666666667	S	STNM	US		OR				0	60	40	America/Los_Angeles	2006-10-29
6297528	Spencer	Spencer	K3SE	43.1666666666667	-95.15	S	STNM	US		IA				0	404	407	America/Chicago	2006-10-29
6297529	Mineola/Quitman, Wood County Airport	Mineola/Quitman, Wood County Airport	K3T1	32.7419444444444	-95.4963888888889	S	STNM	US		TX				0	132	121	America/Chicago	2006-10-29
6297530	La Grange, Fayette Regional Air Center Airport	La Grange, Fayette Regional Air Center Airport	K3T5	29.9080555555556	-96.95	S	STNM	US		TX				0	99	100	America/Chicago	2006-10-29
6297531	Thompson Falls	Thompson Falls	K3TH	47.6	-115.366666666667	S	STNM	US		MT				0	725	742	America/Boise	2006-10-29
6297532	Venice Heliport	Venice Heliport	K3V8	29.1166666666667	-89.2	S	STNM	US		LA				0	80	1	America/Indiana/Knox	2006-10-29
6297533	Swansboro / Bogue	Swansboro / Bogue	K3W4	34.65	-77.1	S	STNM	US		NC				0	2	3	America/New_York	2006-10-29
6297534	Clayton Lake	Clayton Lake	K40B	46.6166666666667	-69.5333333333333	S	STNM	US		ME				0	314	332	America/New_York	2006-10-29
6297535	Grand Canyon, Valle Airport	Grand Canyon, Valle Airport	K40G	35.6508333333333	-112.146111111111	S	STNM	US		AZ				0	1829	1833	America/Phoenix	2006-10-29
6297537	Chester County Airport	Chester County Airport	K40N	39.9833333333333	-75.8666666666667	S	STNM	US		PA				0	201	183	America/New_York	2006-10-29
6297538	Thunder Bay Island	Thunder Bay Island	K40Y	45.0666666666667	-83.55	S	STNM	US		MI				0	178	211	America/Detroit	2006-10-29
6297539	Bath	Bath	K41G	42.85	-84.4833333333333	S	STNM	US		MI				0	261	256	America/Detroit	2006-10-29
6297540	Eugene Island	Eugene Island	K41I	28.4666666666667	-91.7833333333333	S	STNM	US		LA				0	30	-9999	America/Indiana/Petersburg	2006-10-29
6297541	Litchfield Municipal	Litchfield Municipal	K43F	45.1	-94.5	S	STNM	US		MN				0	347	351	America/Menominee	2006-10-29
6297542	West Point Coast Guard Light Station	West Point Coast Guard Light Station	K43S	47.6666666666667	-122.433333333333	S	STNM	US		WA				0	4	5	America/Los_Angeles	2006-10-29
6297543	Millbrook / Sky Acres	Millbrook / Sky Acres	K44N	41.7	-73.7333333333333	S	STNM	US		NY				0	213	199	America/New_York	2006-10-29
6297544	Diamond Shoals Coast Guard Station	Diamond Shoals Coast Guard Station	K44W	35.15	-75.3	S	STNM	US		NC				0	1	-9999	America/New_York	2006-10-29
6297545	Sault Ste. Marie Coast Guard Station	Sault Ste. Marie Coast Guard Station	K44Y	46.5	-84.3333333333333	S	STNM	US		MI				0	176	181	America/Detroit	2006-10-29
6297546	Brant Point Coast Guard Station	Brant Point Coast Guard Station	K45B	41.2833333333333	-70.0833333333333	S	STNM	US		MA				0	8	1	America/New_York	2006-10-29
6297547	Rockingham, Rockingham-Hamlet Airport	Rockingham, Rockingham-Hamlet Airport	K45J	34.8908333333333	-79.7588888888889	S	STNM	US		NC				0	109	107	America/Kentucky/Monticello	2006-10-29
6297548	Bay Shore / Fire Island	Bay Shore / Fire Island	K45N	40.6333333333333	-73.2666666666667	S	STNM	US		NY				0	5	-9999	America/New_York	2006-10-29
6297549	Oracoke Coast Guard Station	Oracoke Coast Guard Station	K45W	35.1166666666667	-75.9833333333333	S	STNM	US		NC				0	2	1	America/New_York	2006-10-29
6297550	Canton, Cherokee County Airport	Canton, Cherokee County Airport	K47A	34.3105555555556	-84.4238888888889	S	STNM	US		GA				0	372	335	America/Kentucky/Monticello	2006-10-29
